iter	RMSE
474	0.1664546912
475	0.1663095709
476	0.1662487115
477	0.1661524041
478	0.1659223974
479	0.165722809
480	0.1655635879
481	0.1653709803
482	0.1652245116
483	0.1649256069
484	0.1647999131
485	0.1645118902
486	0.1643812875
487	0.164252316
488	0.1641309371
489	0.1639836946
490	0.1638262831
491	0.1636702823
492	0.1634986771
493	0.1633557212
494	0.1631620396
495	0.1630187686
496	0.1628478742
497	0.1627307906
498	0.1625443686
499	0.1625136074
500	0.1624230715
501	0.1621382887
502	0.1620984635
503	0.1619288249
504	0.16164886
505	0.161497272
506	0.1614048995
507	0.1612726697
508	0.1611265094
509	0.1609439101
510	0.1608686404
511	0.160738252
512	0.1606234094
513	0.1605390976
514	0.1604498112
515	0.1602428427
516	0.1600616706
517	0.1597721092
518	0.1596605631
519	0.1595695975
520	0.1594230291
521	0.1592063192
522	0.1590735414
523	0.1589153551
524	0.1588628304
525	0.1587186611
526	0.1586401609
527	0.1584595529
528	0.1583156113
529	0.1581038622
530	0.1580090453
531	0.157781238
532	0.1574814661
533	0.1573117029
534	0.1571264855
535	0.1570239713
536	0.1568885197
537	0.1566765069
538	0.1565440422
539	0.1564432009
540	0.156373731
541	0.1562444013
542	0.1561274547
543	0.1560122519
544	0.1559237935
545	0.1557690175
546	0.1555186482
547	0.1554123576
548	0.1553436861
549	0.1552965646
550	0.1551665728
551	0.1550475581
552	0.1549435157
553	0.1547875139
554	0.1546886882
555	0.1545202474
556	0.1544804328
557	0.1542929212
558	0.1541892668
559	0.154074104
560	0.1539807358
561	0.1539289705
562	0.1537253141
563	0.1536162079
564	0.1535196708
565	0.1533603249
566	0.1532891917
567	0.1530575401
568	0.1529438525
569	0.1528276586
570	0.1527113471
571	0.1525182736
572	0.1523812573
573	0.1522787114
574	0.1521207353
575	0.1519062744
576	0.1517052915
577	0.1515979283
578	0.1514455144
579	0.1513801593
580	0.1511600577
581	0.1510821959
582	0.1508906819
583	0.1507949812
584	0.1506757414
585	0.1505340643
586	0.15039654
587	0.1501965032
588	0.1499553558
589	0.1499271395
590	0.1497556495
591	0.1496482051
592	0.1495738
593	0.1494823919
594	0.1493902532
595	0.1492860517
596	0.1491386996
597	0.1490262368
598	0.1489523323
599	0.1489126725
600	0.1488336417
601	0.1486954285
602	0.1484559993
603	0.148364639
604	0.1481613871
605	0.1480753945
606	0.1479220343
607	0.1477287156
608	0.1475185114
609	0.1474144153
610	0.1473183528
611	0.1471412641
612	0.1470276034
613	0.1469243028
614	0.1468545552
615	0.1467466897
616	0.1466578865
617	0.1464871446
618	0.1464140145
619	0.1462816804
620	0.1461013553
621	0.1459915534
622	0.1458439481
623	0.1457436753
624	0.1456642218
625	0.1455194014
626	0.1454379321
627	0.145296568
628	0.1451751138
629	0.1450570306
630	0.1450108222
631	0.1449313556
632	0.1448595771
633	0.1447028966
634	0.1445885032
635	0.1445439556
636	0.1444847412
637	0.1443367572
638	0.1442631208
639	0.1442105527
640	0.144082371
641	0.1438849556
642	0.1437032288
643	0.1435909243
644	0.1435501374
645	0.1434842818
646	0.1434279502
647	0.1433242005
648	0.1431933106
649	0.1431038134
650	0.1430220817
651	0.1429286655
652	0.1428065253
653	0.1427006472
654	0.1426169887
655	0.1424479035
656	0.1423862774
657	0.1422504707
658	0.1421751021
659	0.1421364932
660	0.142007411
661	0.1419236758
662	0.1418922926
663	0.1417733865
664	0.1417038636
665	0.1416237969
666	0.1415271657
667	0.1414617127
668	0.1413000478
669	0.1411409253
670	0.1410045396
671	0.1409116652
672	0.1408194929
673	0.1407113394
674	0.1406273642
675	0.1404600296
676	0.1403527
677	0.1403255025
678	0.1402279527
679	0.1401626489
680	0.1400399937
681	0.1400047454
682	0.1399024605
683	0.1397084737
684	0.1396460188
685	0.139558721
686	0.1394493312
687	0.1393766775
688	0.1392336899
689	0.1391287079
690	0.1389547683
691	0.1388028432
692	0.1387106571
693	0.1385899355
694	0.1384994817
695	0.1383861291
696	0.1382551129
697	0.1382199436
698	0.1380524932
699	0.1379690426
700	0.1379156061
701	0.1377703175
702	0.1375917417
703	0.1374115783
704	0.1372817675
705	0.1371393255
706	0.1369724305
707	0.1368828173
708	0.1367771921
709	0.1367442196
710	0.1366508605
711	0.1365021831
712	0.1363755642
713	0.1362815571
714	0.1362014252
715	0.1360835741
716	0.1359359726
717	0.1358051776
718	0.1357703646
719	0.1356193708
720	0.1355402255
721	0.1354546648
722	0.1354002009
723	0.1353078668
724	0.1351602374
725	0.1350538602
726	0.1349646597
727	0.1348689562
728	0.1348122629
729	0.1347030462
730	0.1346757146
731	0.1345543253
732	0.1344721587
733	0.1344022939
734	0.1342962215
735	0.1342099296
736	0.134089719
737	0.1340062052
738	0.1339161129
739	0.1338530372
740	0.1337876867
741	0.1337251785
742	0.1336711137
743	0.1335785674
744	0.1334857002
745	0.1334552868
746	0.1333449229
747	0.1331754206
748	0.1331453231
749	0.1330309694
750	0.1329490428
751	0.1329203261
752	0.1327872325
753	0.1327572196
754	0.1326881705
755	0.1326274757
756	0.1324850236
757	0.1324360861
758	0.132352581
759	0.1322970776
760	0.132263222
761	0.1321159177
762	0.1320449107
763	0.1320045188
764	0.1319505249
765	0.131922156
766	0.1318894377
767	0.1317823263
768	0.131639262
769	0.1314846551
770	0.1314090196
771	0.1312968675
772	0.1311901677
773	0.1310853154
774	0.1310165081
775	0.1308655943
776	0.1308089027
777	0.1307288178
778	0.1306360497
779	0.1305390154
780	0.1304727785
781	0.1303888964
782	0.1302375939
783	0.1301533449
784	0.1300427932
785	0.1299887402
786	0.1298652927
787	0.1297936464
788	0.1297334322
789	0.129582197
790	0.1294694267
791	0.1293755461
792	0.1293475544
793	0.1292149978
794	0.1291677248
795	0.1291165265
796	0.1290600913
797	0.1289659474
798	0.1288099794
799	0.1287660249
800	0.1286540074
801	0.1286283755
802	0.1285871555
803	0.1285695027
804	0.1284619528
805	0.1284006159
806	0.1283766283
807	0.1282982353
808	0.1281614204
809	0.1281273467
810	0.1280384721
811	0.1279452024
812	0.1278910516
813	0.1278437198
814	0.1277616647
815	0.1277319553
816	0.1277042384
817	0.1276326573
818	0.1275663897
819	0.1274988167
820	0.1273617043
821	0.1273374836
822	0.1272461616
823	0.1271628304
824	0.1270720402
825	0.1270236235
826	0.1269571372
827	0.1268661752
828	0.1268125858
829	0.1267337501
830	0.1266527472
831	0.1266004602
832	0.1265590071
833	0.1265021808
834	0.1263606339
835	0.1262668041
836	0.1261959289
837	0.1260238702
838	0.1259594857
839	0.1258693917
840	0.1258390834
841	0.1257944811
842	0.1257112613
843	0.125653314
844	0.1255628076
845	0.1255165347
846	0.1253723887
847	0.1253077812
848	0.1252360443
849	0.1251414775
850	0.1250835881
851	0.1250079003
852	0.1249749221
853	0.1248932237
854	0.1247592271
855	0.1247026604
856	0.1246825611
857	0.1245122354
858	0.1243780492
859	0.1243176386
860	0.1242539477
861	0.1241895333
862	0.1240960096
863	0.1240163038
864	0.1239520426
865	0.1238032951
866	0.1237440322
867	0.1237072639
868	0.1236412529
869	0.1236224879
870	0.123574014
871	0.1235254871
872	0.1233978286
873	0.1233269715
874	0.1232534599
875	0.1232224798
876	0.1231362502
877	0.1230658972
878	0.1228917758
879	0.122837056
880	0.1228048092
881	0.1227231972
882	0.1226525832
883	0.1225979907
884	0.1225751238
885	0.1224968641
886	0.1223783073
887	0.1222882372
888	0.1222390075
889	0.1222120687
890	0.122174438
891	0.1220958558
892	0.1220463809
893	0.121957345
894	0.1218548708
895	0.1217706727
896	0.1216929064
897	0.1216412383
898	0.1215594447
899	0.1215064266
900	0.121483671
901	0.1214618661
902	0.1214194066
903	0.1213349219
904	0.1212627232
905	0.1211455736
906	0.12103949
907	0.1210229236
908	0.1209786863
909	0.1209241962
910	0.1208324188
911	0.1207866484
912	0.1206625712
913	0.1206421807
914	0.1205861512
915	0.120522968
916	0.1204309704
917	0.120383554
918	0.1203674181
919	0.1202686763
920	0.1200633279
921	0.1199714008
922	0.1199128932
923	0.1198232437
924	0.1197700396
925	0.1197394405
926	0.1196820927
927	0.119622027
928	0.1194954954
929	0.119436869
930	0.1193550227
931	0.119290073
932	0.1192299469
933	0.1191931226
934	0.1191360917
935	0.1190870037
936	0.1190411938
937	0.1189623532
938	0.1189250484
939	0.1188676758
940	0.1187890306
941	0.1187419033
942	0.1187181493
943	0.1186528571
944	0.1186076471
945	0.1185833134
946	0.1185483547
947	0.1184043453
948	0.1183503377
949	0.1182245319
950	0.1181818954
951	0.1180562805
952	0.1179943671
953	0.1178739939
954	0.1178018274
955	0.1177070448
956	0.117585606
957	0.1174437634
958	0.1173646209
959	0.1173154296
960	0.1172696692
961	0.1172143997
962	0.1170738916
963	0.116960132
964	0.1168579995
965	0.1167932378
966	0.1167408919
967	0.1167175516
968	0.1166257034
969	0.1165421793
970	0.116501743
971	0.1164521459
972	0.1163836891
973	0.1163553443
974	0.1162446653
975	0.1161556445
976	0.1160206265
977	0.1159542816
978	0.1158936872
979	0.1158114459
980	0.1157471265
981	0.1157035432
982	0.1156403263
983	0.1155399242
984	0.1154846836
985	0.1154468635
986	0.115355712
987	0.115269508
988	0.115196556
989	0.1151426339
990	0.1150334123
991	0.1150041634
992	0.1149333606
993	0.1148882864
994	0.1148294939
995	0.1147203455
996	0.114688969
997	0.1146236548
998	0.11454724
999	0.1144896215
